items,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
XP-ECE,3.400802612304687e-05,6.567955017089844e-05,4.8189163208007814e-05,6.276845932006836e-05,8.429527282714844e-05,0.00010706901550292968,0.00014210939407348632,0.00019929170608520507,0.0002665257453918457,0.0004442763328552246,0.0005936694145202637,0.0007641267776489258,0.000866081714630127,0.0010503602027893066,0.0012419819831848145,0.001364729404449463,0.0015954184532165528,0.0017584609985351564,0.002162444591522217,0.0024402189254760743,0.002822415828704834,0.0029724311828613283,0.0030402231216430666,0.003561820983886719,0.003821277618408203,0.004028527736663818,0.004404218196868897,0.004882791042327881,0.005055067539215088,0.005401527881622315,0.005837609767913818,0.006309127807617188,0.0073426938056945805,0.007345860004425049,0.007363820075988769,0.008063497543334961,0.008573346138000489,0.008844716548919678,0.00945908784866333,0.010090103149414062,0.010514953136444093,0.010951173305511475,0.01142742156982422,0.012162110805511474,0.012655367851257324,0.013088479042053222,0.013802359104156494,0.014440817832946777,0.01500105619430542,0.015532462596893311,0.016698944568634033,0.017013607025146486,0.017271652221679687,0.01821577310562134,0.0189086651802063,0.019218711853027343,0.02028979539871216,0.020677852630615234,0.02148524045944214,0.022648530006408693,0.023498265743255614,0.024021146297454835,0.02505420207977295,0.025904109477996828,0.026227309703826904,0.026507515907287598,0.027900891304016115,0.028865759372711183,0.02947514533996582,0.030231268405914308,0.030980982780456544,0.031964716911315916,0.03289700031280517,0.034164867401123046,0.03444170951843262,0.03636969089508057,0.03605652332305908,0.037108519077301026,0.03774644374847412,0.03971367835998535,0.039440538883209225,0.04088863849639893,0.041928558349609374,0.04303560018539429,0.04360347270965576,0.045696542263031006,0.04613054752349854,0.04727314710617066,0.04836350679397583,0.04907623767852783,0.049937942028045655,0.05126971960067749,0.052431769371032715,0.05315732479095459,0.05480706453323364,0.05570328712463379,0.05628505229949951,0.05803142547607422,0.05887573957443237,0.060113382339477536
XP-ECE,2.0487288386573538e-05,0.00023253157379299244,1.3138757939514538e-05,1.538303776902507e-05,2.5782328072238685e-05,4.2705309076290425e-05,3.740854176096772e-05,8.389359927302201e-05,9.191757571514948e-05,0.00018900834999459153,0.00020721913337279563,0.00032427886340467165,0.00026358035791445536,0.0003182239742461131,0.0003358149450131377,0.0003160457963098819,0.00034135128938795624,0.0004169931508244973,0.0004606068937628799,0.0007843441655301992,0.0013989278266372655,0.0005727461885064691,0.0006208500954797811,0.0005923490606981138,0.0006447246305126909,0.0006529443883197019,0.0007757102272098549,0.0008680532034025788,0.0007604358270598146,0.0008024864050545971,0.0009176550576818284,0.0009128063996509774,0.005018124477405586,0.0010860078430303295,0.0011123196821743962,0.0012134186920916294,0.0017411872438398382,0.001058772146308546,0.0013810471742359159,0.0011794792179121625,0.0014980614721543345,0.001490940718182779,0.0013956566217940645,0.0015393655310555693,0.0016897932207076967,0.001510838101617397,0.0016080142600973378,0.0014626603954820715,0.0014843148691865314,0.0016716493253837899,0.006007305694007097,0.0019438933858883993,0.0017098967202660324,0.0019841181050105237,0.001988845613794044,0.0019649691924515495,0.002009440202534493,0.0020922454205875123,0.0021742662985569086,0.005447314870448822,0.002320779252035362,0.0024572476339591986,0.003063551951879612,0.0022938052428972903,0.002674121261364609,0.002433474134542314,0.002535403371236625,0.0030262806769736812,0.0033608680079718904,0.0028881931754797135,0.002583910882582876,0.002937989251176408,0.003191441505245185,0.005782783500598647,0.0028132335303540975,0.006901245900752042,0.0029702456667171726,0.003132210922865983,0.0032943957070453215,0.006156570444595543,0.0031664263410965785,0.0034577376354146764,0.0035256109275990746,0.004275526618980449,0.003445527324268623,0.006718932760870151,0.0036834231930978683,0.0061366437972944915,0.006991254628208588,0.004000883257266907,0.0074500963835799835,0.003986792787624967,0.004383754093109559,0.0035416219077117625,0.004623200004687694,0.006707532031551644,0.004412827428692893,0.00777732979400082,0.004215364242557696,0.004195459828203942
Envy-Cycle Elimination,0.00017362356185913086,0.00014474868774414063,0.00017120838165283204,0.0002083015441894531,0.00025795936584472657,0.0003151845932006836,0.0003862881660461426,0.00044541120529174806,0.0004930257797241211,0.0005581021308898926,0.0006117892265319825,0.0006397747993469238,0.0006926298141479492,0.0007613897323608398,0.0008063077926635742,0.0008669352531433106,0.0009134936332702636,0.000979630947113037,0.0010464882850646973,0.0011047744750976563,0.0011760282516479492,0.001218409538269043,0.0012930703163146972,0.0013414621353149414,0.0014048504829406738,0.0014654374122619628,0.0015642333030700683,0.001634964942932129,0.001652538776397705,0.0017354559898376464,0.001832423210144043,0.0019166684150695801,0.0019879865646362303,0.002071115970611572,0.00214160680770874,0.0021757030487060546,0.0023015308380126952,0.0023046875,0.0024108123779296876,0.00252443790435791,0.002574148178100586,0.0026616525650024416,0.00275742769241333,0.0028498196601867676,0.00291903018951416,0.003025648593902588,0.003083436489105225,0.0031739592552185057,0.0032656216621398926,0.003374176025390625,0.0034937071800231934,0.0036020302772521973,0.0036238789558410644,0.0038171839714050294,0.0038289618492126465,0.0039024901390075683,0.004051320552825928,0.004126973152160644,0.004227569103240967,0.004449226856231689,0.004452178478240967,0.0045869207382202145,0.0047264742851257325,0.004794278144836426,0.004852430820465088,0.005357611179351807,0.005064501762390137,0.005187385082244873,0.005314216613769531,0.006152768135070801,0.0054392218589782715,0.005624430179595947,0.005774047374725342,0.005867664813995361,0.0060062694549560544,0.006147379875183105,0.006238737106323242,0.006348083019256592,0.0064809656143188475,0.006703910827636719,0.006689453125,0.00684370756149292,0.00701479434967041,0.007158968448638916,0.007283601760864258,0.007385921478271484,0.007566196918487549,0.007639622688293457,0.0077130794525146484,0.00782472848892212,0.008009650707244874,0.008100264072418213,0.008367009162902832,0.008489813804626465,0.008632307052612304,0.008782804012298584,0.008919589519500733,0.009029030799865723,0.009170637130737305,0.009325199127197266
Envy-Cycle Elimination,0.0002410850920124141,4.9129574886910866e-05,3.50949313966044e-05,3.0614354496319305e-05,5.560335230588432e-05,5.480257304883981e-05,9.11320598992695e-05,0.0001127230924080892,8.89791137696421e-05,9.657025792665846e-05,0.00011807290339884182,8.239826183652839e-05,7.52925533067507e-05,0.0001247106237767627,9.361016317065549e-05,9.194404511168422e-05,9.223981579312947e-05,0.00012018415312950933,0.00011915617376980984,0.00011265939672900877,0.00022802994008905576,0.00011482636678096582,0.00013885794206342246,0.0001531935811253912,0.0001238417690146301,0.00013117803436582558,0.00016953378576905497,0.00017570476627991815,0.00010518696650394959,0.00011972484900229357,0.00018632669477580742,0.0002029032601395969,0.0002175673810994254,0.00018121837796043644,0.0001768673591585708,0.00015844685065926164,0.00025383219636966695,0.00015500748787291305,0.00016558228465857685,0.000225302208315468,0.00020922099369833513,0.0002558697562474667,0.00020730801458606474,0.0002337610713897919,0.00021171552775135565,0.0003066893914642183,0.00021851671014521036,0.00019771004498901352,0.00020499720652669424,0.00023112298258314503,0.0003569484679544275,0.00026632506691222146,0.00023195248259223026,0.0005349918535077127,0.00020557111338964009,0.00020984509226275463,0.0002538805665295489,0.0002272692401874793,0.00025038458394499824,0.0011174563871096416,0.000261535753670931,0.0003510214721910149,0.0006228746106841905,0.00039709584577303134,0.00022045914133786437,0.003670287766145437,0.00024759249050381837,0.0002543113351039326,0.00024119555032731753,0.007142930370466893,0.00023390177976297916,0.00030684824264787,0.0003304791021352866,0.0003033802941318768,0.00033449954041289226,0.0004020615548772447,0.00037716504681728876,0.00027579205617573146,0.0003999994595106259,0.0011316400569616261,0.0002883200520052965,0.0002973169026699549,0.00040159342150653405,0.00046052469241999696,0.00039119992837603957,0.00032997887422190453,0.0005255046616203791,0.0005973344119630073,0.00035258720659551876,0.000247299584218394,0.00033903493506136584,0.0002572337869764131,0.00047071779996208393,0.00036160625293613584,0.0005110121993584496,0.00047016603027402005,0.00034004483666766745,0.0005069522111262928,0.0003465517398472783,0.00034293038093114077
Draft-and-Eliminate,0.00015418529510498048,0.0002410578727722168,0.00020045042037963867,0.0002395772933959961,0.0003063678741455078,0.00033127307891845704,0.0003691840171813965,0.0004387927055358887,0.0004586505889892578,0.0005085539817810059,0.0005108833312988282,0.0005501437187194824,0.0005687856674194336,0.0006059980392456054,0.0006070947647094727,0.0006483626365661621,0.0006627988815307617,0.0006883049011230469,0.0007228994369506836,0.0007497215270996094,0.0008386397361755372,0.0008794665336608887,0.0009754633903503418,0.0010428619384765625,0.0011008238792419433,0.0011809825897216796,0.0012463021278381347,0.001313760280609131,0.0013970160484313965,0.0014771628379821778,0.00152679443359375,0.001620473861694336,0.0018079376220703125,0.0018100786209106446,0.0018947887420654296,0.0019504022598266601,0.0020505762100219726,0.0021392989158630373,0.002245042324066162,0.0022967743873596193,0.0024013352394104005,0.002494032382965088,0.0026120781898498536,0.002686619758605957,0.002775149345397949,0.0028574991226196288,0.002944817543029785,0.0030558156967163087,0.003142399787902832,0.003284420967102051,0.003336384296417236,0.003455507755279541,0.003586289882659912,0.003695838451385498,0.003744509220123291,0.0038636970520019532,0.003983337879180909,0.00406425952911377,0.004191632270812988,0.004288687705993653,0.004377930164337158,0.004572310447692871,0.004630606174468994,0.00479133129119873,0.0048762702941894534,0.005071947574615479,0.005104653835296631,0.00521186113357544,0.005356106758117676,0.005491912364959717,0.0055406284332275395,0.00573500394821167,0.005854029655456543,0.005951366424560547,0.006053950786590576,0.006249430179595947,0.006348786354064942,0.0064582014083862304,0.006624338626861573,0.0067817258834838865,0.006828761100769043,0.007015178203582764,0.007127985954284668,0.007288506031036377,0.007455027103424073,0.007560687065124512,0.007670073509216308,0.007826220989227296,0.007953662872314454,0.008187437057495117,0.008314731121063233,0.008453745841979981,0.008595626354217529,0.008758251667022704,0.008904609680175781,0.009054839611053467,0.00918856143951416,0.009419898986816406,0.00943394422531128,0.009719107151031494
Draft-and-Eliminate,0.00010869317890957797,0.0003556236297091328,4.4179938951978226e-05,4.252295476859316e-05,7.05177511794985e-05,5.1283724637089405e-05,4.0222867149916186e-05,0.00012143365910800178,6.3128990566246e-05,8.578195416860502e-05,6.392973580929231e-05,9.598652317130489e-05,7.016475466408437e-05,0.00010300998040811742,5.944941544348034e-05,8.820945655450336e-05,5.3832243497457585e-05,6.276536456572902e-05,8.383221596554156e-05,7.35258183639134e-05,0.00010347009520267685,8.349504676666407e-05,9.140884306869293e-05,0.00012844390510763595,0.00010943544037453531,0.00011688253878749296,0.00010076042286383544,0.00010275066669077129,0.00011617743981874526,0.0001300162161863005,9.735731942674287e-05,0.00010905692763950654,0.0010912131441172678,0.0001286513102842582,0.00014560639717583113,0.0001378325877937278,0.00017666168246034921,0.0001441708676983737,0.00018644039248998144,0.00014795226879307707,0.00018096954979503362,0.0001704361885295936,0.00020048215100535013,0.0001985248115941207,0.0001964123116839072,0.00024618511753468685,0.00019762683112493941,0.00019047552591894068,0.00017556526862455216,0.00022496132318015452,0.0002203771466590784,0.00021711578546123136,0.0002871976042301219,0.00025843214569155513,0.00021806803308494074,0.00025122757359227624,0.00023623052081664348,0.0002372016860707901,0.0002454635536771391,0.00024106198894575608,0.00019820903201737112,0.00041580857921897236,0.00022614345979013405,0.00029412593312082394,0.0003250493009704878,0.0011321652394946525,0.0002847423247516207,0.0002198014116718696,0.000259572085199474,0.00046829092670285633,0.00026081416563649394,0.00032864208725151106,0.0003487446479703063,0.0002471482634356347,0.00023174806845808156,0.000511641899535277,0.00035152276446133066,0.0002446633643961083,0.0003258361317087518,0.00031136650170409714,0.00029004997121953786,0.0003933511704005958,0.0002816368525345193,0.0002880018283224962,0.00040386320721897773,0.0002952834986680998,0.0002785510914827932,0.0003046856132073814,0.000392445274603758,0.000430327758527571,0.00034186197904927,0.00042907352389490134,0.00031170633502461013,0.0003954820639485874,0.0003848321242704602,0.00045303217383313454,0.00036645306617605946,0.00043178911241998,0.0003316700334679201,0.0005492450601292485
Ordered Picking,0.00018306970596313477,0.00029952287673950194,0.0002558088302612305,0.00030774593353271484,0.00037491798400878906,0.0004221057891845703,0.0004837346076965332,0.000564126968383789,0.0006223154067993164,0.0007124280929565429,0.0007749581336975097,0.0009812235832214356,0.0012222003936767578,0.0014838695526123047,0.0015053915977478027,0.0018125581741333008,0.0019723963737487793,0.0022078537940979004,0.0022516965866088865,0.002354438304901123,0.002572510242462158,0.00269359827041626,0.002784123420715332,0.0035579681396484377,0.0031223297119140625,0.003114569187164307,0.003372020721435547,0.0033795881271362306,0.0035539007186889647,0.0036763215065002443,0.0038916969299316404,0.004010863304138183,0.004107787609100342,0.004310193061828613,0.004602296352386475,0.004725375175476074,0.005389704704284668,0.005024409294128418,0.0051261186599731445,0.005388426780700684,0.005525538921356201,0.0056529569625854495,0.0058172249794006346,0.006130309104919434,0.006263964176177979,0.006458437442779541,0.00654426097869873,0.006690309047698974,0.00692183256149292,0.007652523517608642,0.007146050930023193,0.007522385120391845,0.007566807270050049,0.007777624130249024,0.007950210571289062,0.008193926811218262,0.008859028816223144,0.008562076091766357,0.008912911415100097,0.009028639793395996,0.00925044298171997,0.009426305294036865,0.00956209897994995,0.009671361446380615,0.010035288333892823,0.010250294208526611,0.010338726043701172,0.010605676174163818,0.011516289710998535,0.011021389961242675,0.011276171207427979,0.01150752067565918,0.01174651861190796,0.011856887340545654,0.012163763046264648,0.012482256889343261,0.01275693416595459,0.01284975528717041,0.013090987205505372,0.013326282501220704,0.013525474071502685,0.013852577209472656,0.014202680587768555,0.01426314115524292,0.014663560390472412,0.015001554489135743,0.01566272258758545,0.015329837799072266,0.015422029495239258,0.01587838649749756,0.01608484983444214,0.01647486686706543,0.01665891170501709,0.017369184494018555,0.017186243534088135,0.017324948310852052,0.017814769744873046,0.018089077472686767,0.018326053619384764,0.018582427501678468
Ordered Picking,8.360321707265085e-05,0.0004975349873933499,5.3489587553773615e-05,5.397302268780256e-05,9.206577488246656e-05,5.821392113571588e-05,4.96580200890074e-05,9.017282079811866e-05,8.04492005503495e-05,0.00011407932147036094,7.323288994346562e-05,0.00025674388362480904,0.000338221290560238,0.00042580067751601605,0.00042177477433056525,0.0005013707947007487,0.0004948144142561137,0.0004674919233455334,0.0004992596870734877,0.0005381064271722917,0.0004734532735039894,0.0004820575585747802,0.00045392352724575304,0.005298002551986457,0.0004674277995639196,0.00046421794215621335,0.0005173270335185193,0.00043487808026515924,0.000465355448028137,0.0005217098783243499,0.0005545283265344318,0.0004582170245487124,0.000482387824091398,0.0005192630026939952,0.0005098420096150328,0.0006184683007125061,0.004848077434628755,0.0005277600100229235,0.0005315951789053613,0.000570298094912276,0.0005768882735567755,0.0005832630851646708,0.0006156313957127157,0.000663802726486979,0.0006213483529442751,0.0005701613337777188,0.0006623222690265758,0.0005628136921584759,0.00071858995218925,0.005737923175257076,0.0005909589180026253,0.0006829879040389091,0.000531237555597974,0.000719561851674802,0.000690967633673888,0.0007149059953583816,0.0046978303865827355,0.0007442751504678694,0.0007805765377065955,0.0006675414844919591,0.000707457022073328,0.0009184781587774055,0.0006707859749906641,0.0006999231748000381,0.0007211567029567483,0.001124814330662926,0.0007160703376407578,0.0006984776354639115,0.006133354720864561,0.0007359824704271612,0.0007111915442171228,0.0007188631243324412,0.0008061348696841307,0.0007477901635336985,0.0007912669305028173,0.0008307920696461891,0.0007889726383113096,0.0009832338782468067,0.000869885581916564,0.0007871214185576306,0.0007248787941288545,0.0007636828486438425,0.0008619563265042015,0.001107441564541631,0.0009237309398983742,0.0010118026922371125,0.006065952117725455,0.0008526493207871358,0.000791659068167425,0.0009215855870921205,0.0007923005477869311,0.0008571028953968152,0.0008883948432707586,0.005510294194201241,0.0008638665809475816,0.0007569725212812114,0.0009565012210720941,0.0009514038608890591,0.00081074315467767,0.0008048971748474144
Round-Robin,2.8538703918457032e-05,3.2656192779541015e-05,3.214120864868164e-05,3.797292709350586e-05,5.107402801513672e-05,5.293369293212891e-05,6.167888641357422e-05,7.839918136596679e-05,7.998466491699219e-05,9.231090545654297e-05,0.00010647535324096679,0.00012079954147338868,0.00012891292572021485,0.00014748334884643555,0.00016031503677368163,0.00017709970474243163,0.00019347906112670898,0.000211181640625,0.00023207426071166992,0.0002527165412902832,0.0002741456031799316,0.00029175519943237306,0.000314326286315918,0.00034157514572143556,0.00035972118377685546,0.00038685083389282225,0.00041843652725219725,0.0004434704780578613,0.00047399044036865233,0.0004910707473754882,0.0005254626274108886,0.0005694675445556641,0.0005910706520080567,0.0006106305122375488,0.0006512856483459473,0.0006900358200073242,0.0007369422912597656,0.000753021240234375,0.0007914566993713379,0.0008427762985229492,0.0008698534965515136,0.0009001564979553223,0.0009647679328918458,0.0009845399856567383,0.001030433177947998,0.001076035499572754,0.00112579345703125,0.0011609601974487305,0.0012282347679138184,0.0012529611587524414,0.001309988498687744,0.001365644931793213,0.0013849806785583495,0.0014483094215393066,0.0014985227584838868,0.0015598273277282716,0.0016264629364013672,0.0016616749763488769,0.0017253637313842773,0.0017713069915771484,0.0018482708930969238,0.0018758964538574219,0.001975095272064209,0.001995632648468018,0.002072157859802246,0.002111520767211914,0.0021683788299560547,0.002234647274017334,0.0023166799545288087,0.002369387149810791,0.0024689602851867675,0.0024852657318115232,0.002573971748352051,0.002635467052459717,0.002681694030761719,0.002799086570739746,0.0028370904922485353,0.002897834777832031,0.002979912757873535,0.003031578063964844,0.003101494312286377,0.0032235860824584963,0.003263533115386963,0.003343997001647949,0.0034059977531433108,0.003517782688140869,0.003654336929321289,0.003639540672302246,0.003703773021697998,0.0037901782989501953,0.003917782306671142,0.003991532325744629,0.004048740863800049,0.004162278175354004,0.004258363246917724,0.004313673973083496,0.004393327236175537,0.004482336044311523,0.004627835750579834,0.004664311408996582
Round-Robin,1.2882658416528716e-05,2.7812944237967743e-05,1.0942591790130757e-05,2.165055618771927e-05,3.397185464723346e-05,1.0908684655400927e-05,1.593051858990779e-05,7.605828497707291e-05,1.4033580852738682e-05,2.0996309664116472e-05,3.7262377030157986e-05,4.25969212398647e-05,1.2255619438725081e-05,2.2112139955517113e-05,1.888708870980051e-05,1.7365146298544257e-05,1.6297457523149378e-05,1.95257136667819e-05,2.0394111057563182e-05,2.459575000196934e-05,4.522825424766837e-05,2.5061417339268967e-05,2.6243697640236696e-05,3.335780202457915e-05,2.8991612556604057e-05,2.9232086823964753e-05,6.558462524396522e-05,4.533639932065017e-05,5.683527704731868e-05,3.0097255453743218e-05,3.98887233187577e-05,7.205716697372358e-05,6.252106778796519e-05,3.151011695272847e-05,5.4284383751812036e-05,5.3029840294002765e-05,0.0001065040526819134,5.475677034389226e-05,5.981115705508375e-05,7.82071743766242e-05,8.007510265782053e-05,5.976599269864118e-05,8.59361004899069e-05,6.550012680103164e-05,8.331011371988419e-05,8.317740907863888e-05,9.74603225123555e-05,8.157139121356508e-05,0.00011703922197718747,0.00011142389945007754,0.0001250938116803935,0.00014964721641143292,6.6208066333094e-05,0.0001048848035385943,0.0001222442370468763,0.00010787979345309708,0.00034165962251585935,9.844951993396762e-05,0.00016161213012940622,0.00010517683682559799,0.0001229851327529626,0.00012675526249075503,0.00027403883001995294,0.00014353530845697136,0.00023797539198803749,0.00011669839351734615,0.00012409164947241953,0.00013856852659622585,0.00016392889990802232,0.00014140022532636666,0.00017979356168287217,0.0001272943337987721,0.00013655868210433515,0.00016354751421403534,0.00012607723121949705,0.00017900482345649605,0.00016386945075685133,0.00020021685351369995,0.00017204061717398852,0.00019052657293756956,0.00017727811535335301,0.0002160791107506535,0.00016080379060121893,0.0001910517611678763,0.00019534158215116332,0.00018379766470190615,0.0005886500100693182,0.00017820300713102877,0.00018485275383804277,0.0001515730088037068,0.0002191531586941037,0.00019286642947689177,0.00019218057962459267,0.000213897453850225,0.0002403020318366489,0.00020894888659261416,0.0001976952348453212,0.000234990209097321,0.00036537671341973675,0.0002187333294162122
